ID Empleado,Edad,Género,Estado civil,Nivel educativo,Especialización,Años trabajando,Compañías empleadoras,Departamento,Cargo,Banda laboral,Sede,Frecuencia de viajes,Distancia al hogar,Ingresos mensuales,Nivel de stock options,Horas extraordinarias,Sesiones de formación,Años en la empresa,Años en el cargo,Años sin promocionar,Años con el mismo jefe,% Incremento salarial,Rendimiento,Satisfacción con el trabajo,Satisfacción con el ambiente,Satisfacción con las relaciones,Nivel de involucración,Balance de la vida laboral,Estado de la relación laboral,Tipo de desvinculación,Razón de la desvinculación,Turnover,GrupoEdad,Satisfaccion_bucket
ECU-0307,32,Masculino,Casado,3,Ciencias de la vida,13,1,Ventas,Ejecutivo de ventas,2,Barcelona,Viajes ocasionales,7,5484,1,,3,13,8,4,8,14,3,3,4,3,2,2,Activa,,,0,25-34,3
ECU-0308,38,Femenino,Casado,2,Ciencias de la vida,19,3,Investigación y desarrollo,Director de investigación,3,Bilbao,Viajes ocasionales,25,12061,1,,2,10,8,0,1,17,3,2,1,3,2,3,Activa,,,0,35-44,2
ECU-0309,58,Masculino,Divorciado,4,Ciencias de la vida,12,2,Investigación y desarrollo,Representante sanitario,2,Madrid,Sin desplazamientos,1,5660,1,,2,5,3,1,2,13,3,3,4,4,1,3,Activa,,,0,55+,3
ECU-0310,31,Masculino,Casado,4,Grado técnico,6,0,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,5,4821,1,,4,5,2,0,3,12,3,4,3,3,3,3,Activa,,,0,25-34,4
ECU-0311,31,Masculino,Casado,3,Recursos humanos,9,3,Recursos humanos,Gestor de personal,2,Barcelona,Viajes ocasionales,2,6410,0,,1,2,2,1,0,12,3,1,1,4,2,3,Activa,,,0,25-34,1
ECU-0312,45,Masculino,Divorciado,3,Ciencias de la vida,24,1,Investigación y desarrollo,Técnico de laboratorio,3,Bilbao,Viajes frecuentes,7,5210,1,,2,24,9,9,11,18,3,1,1,1,3,3,Activa,,,0,45-54,1
ECU-0313,31,Masculino,Divorciado,4,Ciencias de la vida,3,0,Investigación y desarrollo,Investigador,1,Barcelona,Viajes ocasionales,2,2695,1,,2,2,2,2,2,18,3,4,3,2,3,1,Activa,,,0,25-34,4
ECU-0314,33,Femenino,Casado,4,Ciencias de la vida,12,6,Investigación y desarrollo,Director,3,Bilbao,Viajes frecuentes,5,11878,2,,2,10,6,8,8,11,3,2,4,2,3,3,Activa,,,0,25-34,2
ECU-0315,39,Masculino,Casado,1,Medicina,21,1,Investigación y desarrollo,Director,4,Bilbao,Viajes ocasionales,10,17068,0,,3,21,9,11,10,14,3,1,3,4,3,3,Activa,,,0,35-44,1
ECU-0316,43,Femenino,Soltero,4,Ciencias de la vida,9,0,Investigación y desarrollo,Técnico de laboratorio,1,Madrid,Viajes frecuentes,10,2455,0,,5,8,7,1,7,19,3,4,3,1,3,3,Activa,,,0,35-44,4
ECU-0317,49,Femenino,Soltero,2,Grado técnico,25,7,Investigación y desarrollo,Representante sanitario,4,Barcelona,Viajes ocasionales,1,13964,0,,2,7,1,0,7,12,3,3,3,4,2,3,Activa,,,0,45-54,3
ECU-0318,52,Masculino,Casado,4,Medicina,11,2,Investigación y desarrollo,Investigador,2,Bilbao,Viajes ocasionales,8,4941,0,,3,8,2,7,7,15,3,2,3,1,2,2,Finalizada,Voluntaria,Dimisión,1,45-54,2
ECU-0319,27,Femenino,Soltero,3,Ciencias de la vida,4,1,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,5,2478,0,,2,4,3,1,2,12,3,2,3,2,3,2,Activa,,,0,25-34,2
ECU-0320,32,Femenino,Casado,2,Grado técnico,13,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,8,5228,0,,2,13,12,11,9,11,3,2,3,4,2,3,Activa,,,0,25-34,2
ECU-0321,27,Masculino,Soltero,3,Ciencias de la vida,5,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,2,4478,0,,3,5,4,0,4,11,3,3,4,1,3,3,Activa,,,0,25-34,3
ECU-0322,31,Masculino,Divorciado,3,Marketing,13,4,Ventas,Ejecutivo de ventas,2,Madrid,Viajes ocasionales,7,7547,3,,3,7,7,1,7,12,3,4,4,4,3,3,Activa,,,0,25-34,4
ECU-0323,32,Femenino,Soltero,4,Medicina,10,7,Investigación y desarrollo,Investigador,2,Bilbao,Viajes ocasionales,2,5055,0,,0,7,7,0,7,16,3,4,1,3,4,2,Activa,,,0,25-34,4
ECU-0324,28,Masculino,Casado,4,Medicina,5,5,Investigación y desarrollo,Investigador,1,Madrid,Viajes ocasionales,2,3464,0,,4,3,2,2,2,13,1,4,1,4,1,2,Finalizada,Involuntaria,Despido,1,25-34,4
ECU-0325,30,Femenino,Casado,2,Medicina,11,1,Investigación y desarrollo,Investigador,2,Bilbao,Viajes ocasionales,28,5775,2,,2,10,8,1,9,13,3,4,4,4,3,3,Activa,,,0,25-34,4
ECU-0326,31,Femenino,Casado,2,Ciencias de la vida,10,1,Investigación y desarrollo,Director de fabricación,3,Bilbao,Viajes frecuentes,7,8943,1,,2,10,9,8,9,24,4,3,3,1,2,3,Activa,,,0,25-34,3
ECU-0327,39,Masculino,Casado,2,Medicina,21,1,Investigación y desarrollo,Director,5,Madrid,Viajes frecuentes,7,19272,1,,2,21,9,13,3,15,3,4,3,1,2,3,Activa,,,0,35-44,4
ECU-0328,39,Femenino,Casado,2,Medicina,12,4,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,3,5238,0,,3,1,0,0,0,18,3,3,4,1,3,2,Finalizada,Voluntaria,Dimisión,1,35-44,3
ECU-0329,33,Masculino,Soltero,3,Marketing,9,3,Ventas,Ejecutivo de ventas,2,Barcelona,Viajes frecuentes,10,4682,0,,6,7,7,0,1,14,3,4,2,3,2,2,Activa,,,0,25-34,4
ECU-0330,47,Masculino,Casado,5,Ciencias de la vida,21,4,Investigación y desarrollo,Director de investigación,5,Bilbao,Viajes ocasionales,5,18300,1,,2,3,2,1,1,11,3,3,4,2,3,3,Activa,,,0,45-54,3
ECU-0331,43,Femenino,Divorciado,4,Ciencias de la vida,9,1,Investigación y desarrollo,Técnico de laboratorio,2,Bilbao,Viajes frecuentes,10,5257,1,,3,9,7,0,0,11,3,3,3,2,2,4,Activa,,,0,35-44,3
ECU-0332,27,Masculino,Casado,1,Marketing,6,0,Ventas,Ejecutivo de ventas,2,Bilbao,Sin desplazamientos,1,6349,1,,0,5,4,1,4,13,3,2,3,4,3,3,Activa,,,0,25-34,2
ECU-0333,54,Femenino,Soltero,4,Ciencias de la vida,20,3,Investigación y desarrollo,Investigador,2,Bilbao,Viajes frecuentes,20,4869,0,,4,4,3,0,3,12,3,3,4,4,3,2,Activa,,,0,45-54,3
ECU-0334,43,Femenino,Casado,3,Ciencias de la vida,10,8,Investigación y desarrollo,Representante sanitario,3,Bilbao,Viajes ocasionales,7,9985,1,,1,1,0,0,0,16,3,1,3,1,3,2,Activa,,,0,35-44,1
ECU-0335,45,Masculino,Casado,4,Otras,12,9,Investigación y desarrollo,Investigador,2,Barcelona,Viajes ocasionales,8,3697,2,,3,10,9,9,8,14,3,4,4,1,3,3,Activa,,,0,45-54,4
ECU-0336,40,Masculino,Casado,2,Medicina,6,2,Ventas,Ejecutivo de ventas,2,Barcelona,Viajes ocasionales,1,7457,3,,2,4,3,0,2,22,4,4,2,3,1,2,Activa,,,0,35-44,4
ECU-0337,29,Masculino,Casado,4,Otras,7,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,8,2119,0,,4,7,7,0,7,11,3,1,2,4,1,2,Finalizada,Voluntaria,Dimisión,1,25-34,1
ECU-0338,29,Masculino,Soltero,5,Otras,4,0,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,9,3983,0,,2,3,2,2,2,17,3,4,2,3,2,3,Activa,,,0,25-34,4
ECU-0339,30,Femenino,Divorciado,3,Marketing,10,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,5,6118,3,,2,10,9,1,2,13,3,3,4,3,2,3,Activa,,,0,25-34,3
ECU-0340,27,Femenino,Casado,4,Marketing,8,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,8,6214,1,,3,8,7,0,7,18,3,2,2,1,3,3,Activa,,,0,25-34,2
ECU-0341,37,Masculino,Divorciado,2,Medicina,8,7,Investigación y desarrollo,Director de fabricación,2,Madrid,Viajes ocasionales,5,6347,2,,2,6,2,0,4,16,3,4,4,3,3,2,Activa,,,0,35-44,4
ECU-0342,38,Masculino,Divorciado,2,Ciencias de la vida,12,0,Investigación y desarrollo,Director de investigación,3,Barcelona,Viajes ocasionales,15,11510,1,,3,11,10,2,9,14,3,4,3,2,2,3,Activa,,,0,35-44,4
ECU-0343,31,Femenino,Soltero,4,Medicina,11,1,Investigación y desarrollo,Director de fabricación,3,Madrid,Viajes ocasionales,7,7143,0,,2,11,9,4,10,14,3,4,3,3,3,2,Activa,,,0,25-34,4
ECU-0344,29,Femenino,Divorciado,1,Marketing,7,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,10,8268,2,,2,7,7,1,7,14,3,2,4,1,2,3,Activa,,,0,25-34,2
ECU-0345,35,Masculino,Soltero,4,Grado técnico,17,0,Investigación y desarrollo,Director de fabricación,3,Bilbao,Viajes ocasionales,5,8095,0,,5,16,6,0,13,13,3,2,3,4,3,3,Activa,,,0,35-44,2
ECU-0346,23,Masculino,Divorciado,1,Ciencias de la vida,4,1,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,26,2904,2,,2,4,2,0,2,12,3,4,3,3,3,2,Activa,,,0,<25,4
ECU-0347,41,Masculino,Soltero,3,Medicina,8,6,Investigación y desarrollo,Director de fabricación,2,Barcelona,Viajes ocasionales,6,6032,0,,3,5,4,1,2,15,3,2,4,4,2,3,Activa,,,0,35-44,2
ECU-0348,47,Masculino,Soltero,1,Medicina,5,3,Ventas,Representante de ventas,2,Madrid,Viajes frecuentes,4,2976,0,,3,0,0,0,0,19,3,3,2,1,3,3,Activa,,,0,45-54,3
ECU-0349,42,Femenino,Soltero,5,Ciencias de la vida,16,2,Investigación y desarrollo,Director de investigación,4,Bilbao,Viajes ocasionales,23,15992,0,,2,1,0,0,0,14,3,4,1,2,3,3,Activa,,,0,35-44,4
ECU-0350,29,Masculino,Casado,3,Ciencias de la vida,4,1,Ventas,Ejecutivo de ventas,2,Bilbao,Sin desplazamientos,2,4649,1,,3,4,3,0,2,14,3,3,4,1,3,2,Activa,,,0,25-34,3
ECU-0351,42,Masculino,Divorciado,1,Grado técnico,4,0,Recursos humanos,Gestor de personal,1,Bilbao,Viajes ocasionales,2,2696,1,,5,3,2,1,0,11,3,3,3,3,3,3,Activa,,,0,35-44,3
ECU-0352,32,Femenino,Casado,3,Medicina,8,1,Investigación y desarrollo,Técnico de laboratorio,1,Barcelona,Viajes ocasionales,2,2370,1,,4,8,0,0,7,13,3,2,3,3,3,3,Activa,,,0,25-34,2
ECU-0353,48,Femenino,Casado,1,Medicina,15,3,Ventas,Director,3,Bilbao,Viajes ocasionales,29,12504,1,,3,0,0,0,0,21,4,3,1,2,3,1,Activa,,,0,45-54,3
ECU-0354,37,Masculino,Divorciado,3,Medicina,13,4,Investigación y desarrollo,Investigador,2,Madrid,Viajes ocasionales,6,5974,2,,2,7,7,6,7,13,3,1,3,1,4,3,Activa,,,0,35-44,1
ECU-0355,30,Femenino,Casado,2,Grado técnico,4,7,Ventas,Ejecutivo de ventas,2,Bilbao,Sin desplazamientos,25,4736,1,,2,2,2,2,2,12,3,3,4,2,3,4,Activa,,,0,25-34,3
ECU-0356,26,Masculino,Casado,3,Ciencias de la vida,8,1,Ventas,Ejecutivo de ventas,2,Madrid,Viajes ocasionales,1,5296,1,,3,8,7,7,7,17,3,3,3,2,3,3,Activa,,,0,25-34,3
ECU-0357,42,Masculino,Soltero,4,Otras,14,3,Investigación y desarrollo,Representante sanitario,2,Bilbao,Viajes ocasionales,2,6781,0,,6,1,0,0,0,23,4,4,1,2,2,3,Activa,,,0,35-44,4
ECU-0358,21,Femenino,Soltero,1,Grado técnico,3,1,Ventas,Representante de ventas,1,Bilbao,Viajes frecuentes,1,2174,0,,3,3,2,1,2,11,3,2,1,3,2,3,Finalizada,Voluntaria,Dimisión,1,<25,2
ECU-0359,36,Femenino,Soltero,5,Medicina,7,4,Ventas,Ejecutivo de ventas,2,Barcelona,Sin desplazamientos,1,6653,0,,6,1,0,0,0,15,3,4,4,2,3,3,Activa,,,0,35-44,4
ECU-0360,36,Masculino,Casado,4,Medicina,16,4,Ventas,Ejecutivo de ventas,3,Bilbao,Viajes frecuentes,3,9699,1,,2,13,9,1,12,11,3,4,1,1,2,3,Activa,,,0,35-44,4
ECU-0361,57,Masculino,Casado,4,Medicina,15,2,Investigación y desarrollo,Representante sanitario,2,Bilbao,Viajes ocasionales,1,6755,0,,2,3,2,1,2,11,3,3,4,3,3,3,Activa,,,0,55+,3
ECU-0362,40,Femenino,Casado,4,Ciencias de la vida,10,3,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,10,2213,1,,3,7,7,1,7,13,3,3,4,3,4,3,Activa,,,0,35-44,3
ECU-0363,21,Masculino,Soltero,2,Medicina,3,1,Ventas,Representante de ventas,1,Bilbao,Sin desplazamientos,9,2610,0,,3,3,2,2,2,24,4,4,1,3,3,2,Activa,,,0,<25,4
ECU-0364,33,Femenino,Soltero,3,Marketing,1,1,Ventas,Representante de ventas,1,Bilbao,Viajes ocasionales,5,2851,0,,2,1,0,0,0,13,2,3,4,2,3,3,Finalizada,Voluntaria,Dimisión,1,25-34,3
ECU-0365,37,Femenino,Casado,3,Medicina,17,6,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,10,3452,1,,3,5,4,0,3,20,4,1,3,2,3,3,Activa,,,0,35-44,1
ECU-0366,46,Femenino,Casado,4,Medicina,7,2,Investigación y desarrollo,Director de fabricación,2,Bilbao,Sin desplazamientos,7,5258,0,,2,1,0,0,0,14,3,3,3,3,3,4,Activa,,,0,45-54,3
ECU-0367,41,Masculino,Soltero,3,Marketing,8,1,Ventas,Ejecutivo de ventas,2,Madrid,Viajes frecuentes,4,9355,0,,5,8,7,7,7,18,3,2,1,3,3,3,Finalizada,Voluntaria,Dimisión,1,35-44,2
ECU-0368,50,Masculino,Soltero,3,Grado técnico,20,6,Investigación y desarrollo,Representante sanitario,3,Barcelona,Viajes ocasionales,10,10496,0,,2,4,3,1,3,15,3,4,4,4,2,3,Activa,,,0,45-54,4
ECU-0369,40,Masculino,Casado,2,Marketing,8,2,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,22,6380,2,,6,6,4,1,0,12,3,3,3,1,2,3,Finalizada,Voluntaria,Dimisión,1,35-44,3
ECU-0370,31,Masculino,Soltero,4,Ciencias de la vida,3,0,Investigación y desarrollo,Investigador,1,Madrid,Viajes ocasionales,9,2657,0,,5,2,2,2,2,16,3,2,3,4,2,3,Activa,,,0,25-34,2
ECU-0371,21,Femenino,Soltero,3,Ciencias de la vida,1,1,Ventas,Representante de ventas,1,Bilbao,Viajes ocasionales,12,2716,0,,0,1,0,0,0,15,3,2,3,4,4,3,Finalizada,Voluntaria,Dimisión,1,<25,2
ECU-0372,29,Masculino,Soltero,3,Ciencias de la vida,6,9,Investigación y desarrollo,Investigador,1,Madrid,Viajes ocasionales,23,2201,0,,4,3,2,1,2,16,3,4,4,4,3,3,Activa,,,0,25-34,4
ECU-0373,35,Masculino,Soltero,4,Ciencias de la vida,10,9,Investigación y desarrollo,Representante sanitario,2,Bilbao,Viajes ocasionales,9,6540,0,,5,1,1,0,0,19,3,2,3,3,2,3,Activa,,,0,35-44,2
ECU-0374,27,Masculino,Divorciado,2,Medicina,5,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,1,3816,1,,2,5,2,0,4,11,3,2,4,2,3,3,Activa,,,0,25-34,2
ECU-0375,28,Masculino,Soltero,4,Ciencias de la vida,7,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,9,5253,0,,1,7,5,0,7,16,3,4,2,4,3,3,Activa,,,0,25-34,4
ECU-0376,49,Masculino,Soltero,3,Otras,26,8,Investigación y desarrollo,Representante sanitario,3,Bilbao,Viajes ocasionales,7,10965,0,,2,5,2,0,0,24,4,3,2,3,2,3,Activa,,,0,45-54,3
ECU-0377,51,Femenino,Casado,2,Ciencias de la vida,18,4,Ventas,Ejecutivo de ventas,2,Madrid,Viajes ocasionales,14,4936,1,,2,7,7,0,7,11,3,4,3,3,3,2,Activa,,,0,45-54,4
ECU-0378,36,Femenino,Casado,3,Ciencias de la vida,6,4,Investigación y desarrollo,Investigador,1,Barcelona,Viajes ocasionales,2,2543,1,,3,2,2,2,2,13,3,3,4,2,3,3,Activa,,,0,35-44,3
ECU-0379,34,Masculino,Soltero,3,Marketing,9,8,Ventas,Ejecutivo de ventas,2,Bilbao,Sin desplazamientos,19,5304,0,,3,5,2,0,4,13,1,4,1,2,4,2,Finalizada,Voluntaria,Dimisión,1,25-34,4
ECU-0380,55,Femenino,Soltero,3,Ciencias de la vida,30,2,Investigación y desarrollo,Director,4,Bilbao,Viajes ocasionales,2,16659,0,,2,5,4,1,2,13,3,4,3,3,3,3,Activa,,,0,55+,4
ECU-0381,24,Femenino,Divorciado,4,Marketing,5,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,10,4260,1,,2,5,2,0,3,12,3,3,4,4,3,4,Activa,,,0,<25,3
ECU-0382,30,Masculino,Casado,1,Grado técnico,1,1,Ventas,Representante de ventas,1,Bilbao,Viajes ocasionales,2,2476,1,,3,1,0,0,0,18,3,2,3,1,3,3,Activa,,,0,25-34,2
ECU-0383,26,Masculino,Soltero,1,Grado técnico,7,0,Investigación y desarrollo,Investigador,1,Bilbao,Viajes frecuentes,3,3102,0,,2,6,4,0,4,22,4,1,3,3,3,3,Finalizada,Voluntaria,Dimisión,1,25-34,1
ECU-0384,22,Femenino,Casado,3,Medicina,2,1,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,11,2244,1,,1,2,1,1,2,13,3,2,1,4,3,3,Activa,,,0,<25,2
ECU-0385,36,Masculino,Casado,2,Medicina,10,1,Ventas,Ejecutivo de ventas,3,Bilbao,Viajes ocasionales,2,7596,2,,2,10,9,9,0,13,3,3,2,2,2,3,Activa,,,0,35-44,3
ECU-0386,30,Masculino,Soltero,3,Grado técnico,3,9,Investigación y desarrollo,Investigador,1,Bilbao,Viajes frecuentes,4,2285,0,,4,1,0,0,0,23,4,4,3,3,3,3,Finalizada,Voluntaria,Dimisión,1,25-34,4
ECU-0387,37,Femenino,Divorciado,3,Ciencias de la vida,18,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,14,3034,1,,2,18,7,12,17,12,3,1,4,3,3,2,Activa,,,0,35-44,1
ECU-0388,40,Femenino,Divorciado,2,Marketing,8,7,Ventas,Ejecutivo de ventas,2,Barcelona,Viajes ocasionales,2,5715,2,,5,5,4,1,3,12,3,2,4,3,3,3,Activa,,,0,35-44,2
ECU-0389,42,Femenino,Divorciado,4,Ciencias de la vida,8,3,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,1,2576,1,,5,5,2,1,2,16,3,1,2,2,3,3,Activa,,,0,35-44,1
ECU-0390,37,Masculino,Soltero,4,Ciencias de la vida,18,2,Investigación y desarrollo,Director de fabricación,2,Bilbao,Viajes ocasionales,10,4197,0,,2,1,0,0,1,12,3,2,3,4,3,2,Activa,,,0,35-44,2
ECU-0391,43,Masculino,Divorciado,3,Ciencias de la vida,25,1,Investigación y desarrollo,Director de investigación,4,Bilbao,Viajes ocasionales,12,14336,1,,3,25,10,3,9,11,3,2,1,3,2,3,Activa,,,0,35-44,2
ECU-0392,40,Femenino,Casado,3,Medicina,20,6,Investigación y desarrollo,Técnico de laboratorio,2,Bilbao,Viajes ocasionales,2,3448,1,,3,1,0,0,0,22,4,3,2,2,2,3,Activa,,,0,35-44,3
ECU-0393,54,Masculino,Casado,2,Medicina,24,4,Investigación y desarrollo,Director de investigación,5,Barcelona,Viajes ocasionales,5,19406,1,,4,4,2,1,2,11,3,1,1,3,3,2,Activa,,,0,45-54,1
ECU-0394,34,Femenino,Casado,4,Marketing,6,9,Ventas,Ejecutivo de ventas,2,Madrid,Sin desplazamientos,4,6538,1,,3,3,2,1,2,15,3,3,3,1,3,3,Activa,,,0,25-34,3
ECU-0395,31,Femenino,Casado,2,Medicina,13,1,Investigación y desarrollo,Director de fabricación,2,Madrid,Viajes ocasionales,7,4306,1,,5,13,10,3,12,12,3,1,2,2,3,1,Activa,,,0,25-34,1
ECU-0396,43,Masculino,Casado,3,Medicina,8,7,Investigación y desarrollo,Técnico de laboratorio,1,Barcelona,Viajes frecuentes,21,2258,1,,1,3,2,1,2,20,4,4,4,1,3,3,Activa,,,0,35-44,4
ECU-0397,43,Femenino,Divorciado,4,Otras,8,4,Investigación y desarrollo,Representante sanitario,2,Madrid,Viajes ocasionales,8,4522,0,,3,5,2,0,2,14,3,3,3,4,3,3,Activa,,,0,35-44,3
ECU-0398,25,Femenino,Soltero,2,Ciencias de la vida,5,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,4,4487,0,,3,5,4,1,3,11,3,4,2,2,2,3,Activa,,,0,25-34,4
ECU-0399,37,Femenino,Casado,5,Medicina,15,3,Investigación y desarrollo,Investigador,2,Bilbao,Sin desplazamientos,25,4449,2,,2,13,11,10,7,15,3,3,2,1,3,3,Activa,,,0,35-44,3
ECU-0400,31,Masculino,Casado,2,Ciencias de la vida,4,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,1,2218,1,,3,4,2,3,2,12,3,1,4,3,2,3,Activa,,,0,25-34,1
ECU-0401,39,Masculino,Divorciado,1,Ciencias de la vida,21,1,Investigación y desarrollo,Director,5,Bilbao,Viajes frecuentes,1,19197,1,,3,21,8,1,6,14,3,3,2,3,3,3,Activa,,,0,35-44,3
ECU-0402,56,Femenino,Casado,3,Ciencias de la vida,36,9,Ventas,Ejecutivo de ventas,4,Bilbao,Viajes frecuentes,6,13212,3,,0,7,7,7,7,11,3,1,3,4,4,2,Activa,,,0,55+,1
ECU-0403,30,Femenino,Soltero,3,Grado técnico,6,0,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,12,6577,0,,6,5,4,4,4,11,3,3,2,2,3,3,Activa,,,0,25-34,3
ECU-0404,41,Masculino,Casado,3,Marketing,10,1,Ventas,Ejecutivo de ventas,3,Bilbao,Viajes ocasionales,1,8392,1,,2,10,7,0,7,16,3,1,2,3,4,3,Activa,,,0,35-44,1
ECU-0405,28,Masculino,Divorciado,2,Medicina,10,1,Investigación y desarrollo,Técnico de laboratorio,2,Bilbao,Viajes ocasionales,17,4558,1,,2,10,0,1,8,12,3,1,3,4,3,3,Activa,,,0,25-34,1
ECU-0406,25,Masculino,Casado,3,Medicina,6,5,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,3,4031,1,,5,2,2,0,2,13,3,1,1,3,3,3,Finalizada,Voluntaria,Dimisión,1,25-34,1
ECU-0407,52,Masculino,Casado,3,Medicina,28,2,Investigación y desarrollo,Director de fabricación,3,Bilbao,Viajes ocasionales,3,7969,0,,4,5,4,0,4,14,3,3,4,3,2,3,Activa,,,0,45-54,3
ECU-0408,45,Masculino,Casado,2,Ciencias de la vida,8,3,Investigación y desarrollo,Investigador,1,Madrid,Viajes ocasionales,10,2654,2,,3,2,2,0,2,21,4,4,1,4,3,2,Activa,,,0,45-54,4
ECU-0409,52,Femenino,Casado,2,Ciencias de la vida,31,2,Investigación y desarrollo,Director,4,Bilbao,Viajes ocasionales,4,16555,0,,2,5,2,1,4,13,3,4,4,4,3,1,Activa,,,0,45-54,4
ECU-0410,42,Femenino,Divorciado,2,Ciencias de la vida,19,2,Investigación y desarrollo,Investigador,2,Madrid,Viajes frecuentes,29,4556,1,,3,5,4,0,2,11,3,3,1,2,3,3,Activa,,,0,35-44,3
ECU-0411,30,Femenino,Soltero,3,Ciencias de la vida,11,2,Investigación y desarrollo,Director de fabricación,2,Madrid,Viajes ocasionales,2,6091,0,,2,5,4,0,2,20,4,4,3,3,1,3,Activa,,,0,25-34,4
ECU-0412,60,Femenino,Casado,3,Ciencias de la vida,33,5,Investigación y desarrollo,Director,5,Bilbao,Viajes ocasionales,7,19566,0,,5,29,8,11,10,11,3,1,1,4,3,1,Activa,,,0,55+,1
ECU-0413,46,Femenino,Divorciado,3,Medicina,19,2,Investigación y desarrollo,Director de fabricación,2,Bilbao,Viajes ocasionales,18,4810,1,,5,10,7,0,8,14,3,3,3,3,3,2,Activa,,,0,45-54,3
ECU-0414,42,Femenino,Casado,4,Grado técnico,7,0,Investigación y desarrollo,Representante sanitario,2,Bilbao,Viajes frecuentes,28,4523,3,,4,6,5,0,4,11,3,4,4,4,2,4,Activa,,,0,35-44,4
ECU-0415,24,Femenino,Soltero,1,Grado técnico,6,1,Ventas,Representante de ventas,1,Madrid,Viajes ocasionales,1,3202,0,,4,5,3,1,4,16,3,2,1,2,3,3,Finalizada,Voluntaria,Dimisión,1,<25,2
ECU-0416,34,Femenino,Divorciado,2,Marketing,3,0,Ventas,Representante de ventas,1,Madrid,Viajes frecuentes,6,2351,1,,3,2,2,1,0,16,3,3,4,4,1,2,Finalizada,Voluntaria,Dimisión,1,25-34,3
ECU-0417,38,Masculino,Casado,2,Ciencias de la vida,1,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes frecuentes,2,1702,1,,3,1,0,0,0,23,4,4,4,3,3,3,Activa,,,0,35-44,4
ECU-0418,40,Femenino,Casado,4,Ciencias de la vida,21,0,Ventas,Director,5,Bilbao,Viajes ocasionales,2,18041,0,,2,20,15,1,12,14,3,3,3,4,3,3,Activa,,,0,35-44,3
ECU-0419,26,Femenino,Divorciado,3,Ciencias de la vida,3,1,Investigación y desarrollo,Investigador,1,Madrid,Viajes ocasionales,23,2886,2,,3,3,2,0,2,22,4,4,1,2,3,1,Activa,,,0,25-34,4
ECU-0420,30,Masculino,Casado,3,Ciencias de la vida,9,4,Investigación y desarrollo,Técnico de laboratorio,1,Madrid,Sin desplazamientos,3,2097,1,,3,5,3,1,4,15,3,4,3,3,3,1,Activa,,,0,25-34,4
ECU-0421,29,Masculino,Casado,4,Medicina,10,1,Investigación y desarrollo,Director de investigación,3,Madrid,Viajes ocasionales,3,11935,0,,2,10,2,0,7,18,3,3,2,3,2,3,Activa,,,0,25-34,3
ECU-0422,29,Femenino,Casado,5,Grado técnico,6,5,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,25,2546,0,,2,2,2,1,1,16,3,2,3,2,2,4,Finalizada,Voluntaria,Dimisión,1,25-34,2
ECU-0423,19,Masculino,Soltero,2,Grado técnico,1,1,Recursos humanos,Gestor de personal,1,Barcelona,Viajes ocasionales,2,2564,0,,3,1,0,0,0,12,3,4,1,3,2,4,Finalizada,Voluntaria,Dimisión,1,<25,4
ECU-0424,30,Femenino,Casado,4,Otras,10,0,Ventas,Ejecutivo de ventas,3,Bilbao,Sin desplazamientos,22,8412,0,,3,9,8,7,8,11,3,1,3,3,3,3,Activa,,,0,25-34,1
ECU-0425,57,Masculino,Divorciado,3,Marketing,32,3,Ventas,Director,4,Barcelona,Viajes ocasionales,29,14118,1,,3,1,0,0,0,12,3,4,1,3,2,2,Activa,,,0,55+,4
